대상월,신규취급액기준 COFIX
200701,4.92
200702,4.95
200703,4.94
200704,4.95
200705,5.04
200706,5.03
200707,5.05
200708,5.21
200709,5.34
200710,5.34
200711,5.43
200712,5.73
200801,5.81
200802,5.28
200803,5.25
200804,5.38
200805,5.36
200806,5.36
200807,5.52
200808,5.77
200809,5.79
200810,6.03
200811,5.62
200812,4.68
200901,3.22
200902,2.7
200903,2.45
200904,2.42
200905,2.41
200906,2.41
200907,2.41
200908,2.48
200909,2.64
200910,2.79
200911,2.79
200912,2.82
201001,3.88
201002,3.62
201003,3.26
201004,2.86
201005,2.89
201006,3.01
201007,3.1
201008,3.16
201009,3.09
201010,3.01
201011,3.1
201012,3.33
201101,3.47
201102,3.63
201103,3.66
201104,3.67
201105,3.66
201106,3.7
201107,3.8
201108,3.77
201109,3.7
201110,3.71
201111,3.69
201112,3.77
201201,3.75
201202,3.73
201203,3.72
201204,3.69
201205,3.63
201206,3.62
201207,3.4
201208,3.18
201209,3.18
201210,3.08
201211,3.01
201212,3.09
201301,2.99
201302,2.93
201303,2.85
201304,2.74
201305,2.66
201306,2.65
201307,2.63
201308,2.62
201309,2.63
201310,2.62
201311,2.6
201312,2.66
201401,2.64
201402,2.62
201403,2.59
201404,2.59
201405,2.58
201406,2.57
201407,2.48
201408,2.34
201409,2.27
201410,2.17
201411,2.1
201412,2.16
201501,2.08
201502,2.03
201503,1.91
201504,1.77
201505,1.75
201506,1.66
201507,1.56
201508,1.55
201509,1.54
201510,1.57
201511,1.66
201512,1.72
201601,1.65
201602,1.57
201603,1.55
201604,1.55
201605,1.54
201606,1.44
201607,1.32
201608,1.31
201609,1.35
201610,1.41
201611,1.51
201612,1.56
201701,1.5
201702,1.48
201703,1.48
201704,1.46
201705,1.47
201706,1.48
201707,1.47
201708,1.47
201709,1.52
201710,1.62
201711,1.77
201712,1.79
201801,1.78
201802,1.77
201803,1.82
201804,1.79
201805,1.82
201806,1.84
201807,1.81
201808,1.8
201809,1.83
201810,1.93
201811,1.96
201812,2.04
201901,1.99
201902,1.92
201903,1.94
201904,1.85
201905,1.85
201906,1.78
201907,1.68
201908,1.52
201909,1.57
201910,1.55
201911,1.63
201912,1.6
202001,1.54
202002,1.43
202003,1.26
202004,1.2
202005,1.06
202006,0.89
202007,0.81
202008,0.8
202009,0.88
202010,0.87
202011,0.9
202012,0.9
202101,0.86
202102,0.83
202103,0.84
202104,0.82
202105,0.82
202106,0.92
202107,0.95
202108,1.02
202109,1.16
202110,1.29
202111,1.55
202112,1.69
202201,1.64
202202,1.7
202203,1.72
202204,1.84
202205,1.98
202206,2.38
202207,2.9
202208,2.96
202209,3.4
202210,3.98
202211,4.34
202212,4.29
202301,3.82
202302,3.53
202303,3.56
202304,3.44
202305,3.56
202306,3.7
202307,3.69
202308,3.66
202309,3.82
